"","year","species","pct.freq","Common.Name","Common.Name.Alt","Family","Scientific.Name","Life.Form"
"60","1998","POAM8",0,"water knotweed","knotweed, water","Polygonaceae","Polygonum amphibium L.","E"
"61","1998","POAMS",0,"water smartweed","smartweed, water","Polygonaceae","Polygonum amphibium L. var stipulaceum Coleman","E"
"62","1998","POCO14",0.18,"pickerelweed","pickerelweed","Pontederiaceae","Pontederia cordata L.","E"
"63","1998","POCR3",12.36,"curly pondweed","pondweed, curly","Potamogetonaceae","Potamogeton crispus L.","S"
"64","1998","POFO3",0,"leafy pondweed","pondweed, leafy","Potamogetonaceae","Potamogeton foliosus Raf.","S"
"65","1998","POLA4",0,"curlytop knotweed","knotweed, curlytop","Polygonaceae","Polygonum lapathifolium L.","E"
"66","1998","PONO2",3.27,"longleaf pondweed","pondweed, longleaf","Potamogetonaceae","Potamogeton nodosus Poir.","S"
"67","1998","POPE2",0,"Pennsylvania smartweed","smartweed, Pennsylvania","Polygonaceae","Polygonum pensylvanicum L.","E"
"68","1998","POPE3",0,"spotted ladysthumb","ladysthumb, spotted","Polygonaceae","Polygonum persicaria","E"
"69","1998","POPE6",18.73,"sago pondweed","pondweed, sago","Potamogetonaceae","Stuckenia pectinatus (L.) Boerner","S"
"70","1998","POPU5",0,"dotted smartweed","smartweed, dotted","Polygonaceae","Polygonum punctatum Ell.","E"
"71","1998","PORI2",0.36,"Richardson's pondweed","pondweed, Richardson's","Potamogetonaceae","Potamogeton richardsonii (Benn.) Rydb.","S"
"72","1998","POZO",8.91,"flatstem pondweed","pondweed, flatstem","Potamogetonaceae","Potamogeton zosteriformis Fern.","S"
"73","1998","RA?NU",0,NA,NA,NA,NA,NA
"74","1998","RALO2",0,"longbeak buttercup","buttercup, longbeak","Ranunculaceae","Ranunculus longirostris Godr.","S"
"75","1998","RIFL4",0,"slender liverwort","liverwort, slender","Riccaceae","Riccia fluitans L.","N"
"76","1998","RO?BI",0,"locust","locust","Fabaceae","Robina spp.","E"
"77","1998","RONA2",0,"watercress","watercress","Brassicaceae","Rorippa nasturtium-aquaticum (L.) Hayek","E"
"78","1998","RUOR2",0,"greater water dock","water dock, greater","Polygonaceae","Rumex orbiculatus Gray","E"
"79","1998","SA?GI",0.18,NA,NA,NA,NA,NA
"80","1998","SA?LI",0,NA,NA,NA,NA,NA
"81","1998","SAEX",0,"sandbar willow","willow, sandbar","Salicaceae","Salix exigua Nutt.","E"
"82","1998","SAIN3",0,NA,NA,NA,NA,NA
"83","1998","SALA2",5.82,"broadleaf arrowhead","arrowhead, broadleaf","Alismataceae","Sagittaria latifolia Willd.","E"
"84","1998","SALIX",0,NA,NA,NA,NA,NA
"85","1998","SANI",0,"black willow","willow, black","Salicaceae","Salix nigra Marsh.","E"
"86","1998","SARI",3.27,"stiff arrowhead","arrowhead, stiff","Alismataceae","Sagittaria rigida Pursh.","E"
"87","1998","SCFL",0.55,"river bulrush","bulrush, river","Cyperaceae","Schoenoplectus fluviatilis (Torr.) M.T. Strong","E"
"88","1998","SCVA",0,"softstem bulrush","bulrush, softstem","Cyperaceae","Schoenoplectus tabernaemontani (K.C. Gmel.) Palla","E"
"89","1998","SP?AR",0,"burreed","burreed","Sparganiaceae","Sparganium spp","E"
"90","1998","SPEU",0.36,"giant burreed","burreed, giant","Sparganiaceae","Sparganium eurycarpum Engelm. ex Gray","E"
"91","1998","SPPO",0,"big duckweed","duckweed, big","Lemnaceae","Spirodela polyrrhiza (L.) Schleid.","N"
"92","1998","ST?AC",0,"hedge nettle","nettle, hedge","Lamiaceae","Stachys spp.","E"
"93","1998","ST?UC",0,"pondweed","pondweed","Potamogetonaceae","Stuckenia spp.","S"
"94","1998","TYAN",0,"narrowleaf cattail","cattail, narrowleaf","Typhaceae","Typha angustifolia L.","E"
"95","1998","TYLA",0,"common cattail","cattail, common","Typhaceae","Typha latifolia L.","E"
"96","1998","UNK1",0,NA,NA,NA,NA,NA
"97","1998","UNKN01",0,NA,NA,NA,NA,NA
"98","1998","URDI",0,"stinging nettle","nettle, stinging","Urticaceae","Urtica dioica L.","E"
"99","1998","UTMA",3.27,"common bladderwort","bladderwort, common","Lentibulariaceae","Utricularia macrorhiza Le Conte","S"
"100","1998","VAAM3",8.73,"wildcelery","wildcelery","Hydrocharitaceae","Vallisneria americana Michx.","S"
"101","1998","WOCO",0,"Columbian watermeal","watermeal, Columbian","Lemnaceae","Wolffia columbiana Karst.","N"
"102","1998","XAST",0,"rough cocklebur","cocklebur, rough","Asteraceae","Xanthium strumarium L.","E"
"103","1998","ZAPA",0.91,"horned pondweed","pondweed, horned","Zannichelliaceae","Zannichellia palustris L.","S"
"104","1998","ZI?ZA",2.55,"wild rice","rice, wild","Poaceae","Zizania spp.","E"
"105","1998","ZODU",14.55,"water stargrass","stargrass, water","Pontederiaceae","Heteranthera dubia (Jacq.) MacM.","S"
"106","1999","ACSA2",0,"silver maple","maple, silver","Aceraceae","Acer saccharinum L.","E"
"107","1999","ALGA",15.83,"filamentous algae","algae, filamentous","","Filamentous algae","A"
"108","1999","ALSU",0,"American water plantain","water plantain, American","Alismataceae","Alisma subcordatum","E"
"109","1999","AM?AR",0,NA,NA,NA,NA,NA
"110","1999","ASCLE",0,"milkweed","milkweed","Ascleepiadaceae","Asclepias spp.","E"
"111","1999","ASIN",0,"swamp milkweed","milkweed, swamp","Asclepiadaceae","Asclepias incarnata L.","E"
"112","1999","AZCA",0,"Carolina mosquitofern","mosquitofern, Carolina","Azollaceae","Azolla caroliniana Willd.","N"
"113","1999","AZME",0,"Mexican mosquitofern","mosquitofern, Mexican","Azollaceae","Azolla mexicana Schlect. & Cham. ex K. Presl","N"
"114","1999","BI?DE",0,NA,NA,NA,NA,NA
"115","1999","buum",0,NA,NA,NA,NA,NA
"116","1999","BUUM",0,"flowering rush","rush, flowering","Butomaceae","Butomus umbellatus L.","E"
"117","1999","CA?RE",0,NA,NA,NA,NA,NA
"118","1999","CEDE4",30,"coontail","coontail","Ceratophyllaceae","Ceratophyllum demersum L.","S"
"119","1999","CEOC",0,"common hackberry","hackberry, common","Ulmaceae","Celtis occidentalis L.","E"
"120","1999","CEOC2",0,"common buttonbush","buttonbush, common","Rubiaceae","Cephalanthus occidentalis L.","E"
"121","1999","CH?AR",1.83,"chara","chara","Characeae","Chara spp.","S"
"122","1999","CIBU",0,"bulblet-bearing water hemlock","hemlock, bulblet-bearing water","","Cicuta bulbifera","E"
"123","1999","CY?PE",0,NA,NA,NA,NA,NA
"124","1999","CYER2",0,"redroot flatsedge","flatsedge, redroot","Cyperaceae","Cyperus erythrorhizos Muhl.","E"
"125","1999","CYST",0,"straw-colored flatsedge","flatsedge, straw-colored","Cyperaceae","Cyperus strigosus L.","E"
"126","1999","DR?EP",0,NA,NA,NA,NA,NA
"127","1999","EL?EO",0,NA,NA,NA,NA,NA
"128","1999","ELAC",0,"needle spikerush","spikerush, needle","Cyperaceae","Eleocharis acicularis","E"
"129","1999","ELCA7",30.33,"Canadian waterweed","waterweed, Canadian","Hydrocharitaceae","Elodea canadensis Michx.","S"
"130","1999","ELNU2",0,NA,NA,NA,NA,NA
"131","1999","ELPA3",0,"common spikerush","spikerush, common","Cyperaceae","Eleocharis palustris (L.) Roemer & J.A. Schultes","E"
"132","1999","EQ?UI",0,NA,NA,NA,NA,NA
"133","1999","IM?PA",0,"touch-me-not","touch-me-not","Balsaminaceae","Impatiens spp.","E"
"134","1999","IRVE2",0,NA,NA,NA,NA,NA
"135","1999","LACA3",0,"Canadian woodnettle","woodnettle, Canadian","","Laportea canadensis (L.) Weddell","E"
"136","1999","LEMI3",0,"small duckweed","duckweed, small","Lemnaceae","Lemna minor L.","N"
"137","1999","LEOR",0,"rice cutgrass","cutgrass, rice","Poaceae","Leersia oryzoides(L.) Sw.","E"
"138","1999","LETR",0.83,"star duckweed","duckweed, star","Lemnaceae","Lemna trisulca L.","N"
"139","1999","LEVI2",0,"whitegrass","whitegrass","Poaceae","Leersia virginica","E"
"140","1999","LYSA2",0,"purple loosestrife","loosestrife, purple","Lythraceae","Lythrum salicaria L.","E"
"141","1999","MYSI",0.17,"northern watermilfoil","watermilfoil, northern","Haloragaceae","Myriophyllum sibiricum Komarov","S"
"142","1999","MYSP2",11.67,"Eurasian watermilfoil","watermilfoil, Eurasian","Haloragaceae","Myriophyllum spicatum L.","S"
"143","1999","NAFL",4.17,"nodding waternymph","waternymph, nodding","Najadaceae","Najas flexilis (Willd.) Rostk. & Schmidt","S"
"144","1999","NAGU",0,"southern waternymph","waternymph, southern","Najadaceae","Najas guadalupensis (Spreng.) Magnus","S"
"145","1999","NAMI",0,"brittle waternymph","waternymph, brittle","Najadaceae","Najas minor All.","S"
"146","1999","NELU",5.83,"American lotus","lotus, American","Nelumbonaceae","Nelumbo lutea Willd.","F"
"147","1999","NI?TE",0,"nitella","nitella","Characeae","Nitella spp.","S"
"148","1999","NLPW",15.83,"leafy/small pondweed","pondweed, leafy/small","Potamogetonaceae","Potamogeton foliosus Raf./pusillus L.","S"
"149","1999","NOAQVG",65,NA,NA,NA,NA,NA
"150","1999","NORAKE",0,NA,NA,NA,NA,NA
"151","1999","NOSAV",0,NA,NA,NA,NA,NA
"152","1999","NOSMPL",0.83,NA,NA,NA,NA,NA
"153","1999","NOTSP",0,NA,NA,NA,NA,NA
"154","1999","NULU",0.33,"yellow pond lily","pondlily, yellow","Nymphaeaceae","Nuphar variegata Dur.","F"
"155","1999","NYTU",9.67,"white waterlily","waterlily, white","Nymphaeaceae","Nymphaea odorata Ait. spp  tuberosa (Paine) Wiersma & Hellquist","F"
"156","1999","PE?RS",0,NA,NA,NA,NA,NA
"157","1999","PHAR3",1.17,"reed canarygrass","canarygrass, reed","Poaceae","Phalaris aruninaceae L.","E"
"158","1999","PHAU7",0,"common reed","reed, common","Poaceae","Phragmites australis (Cav.) Trin. ex Steud.","E"
"159","1999","PHAUA6",0,NA,NA,NA,NA,NA
"160","1999","PHAUA7",0,NA,NA,NA,NA,NA
"161","1999","PIPU2",0,"Canadian clearweed","clearweed, Canadian","","Pilea pumila (L.) Gray","E"
"162","1999","PO?LY",0,NA,NA,NA,NA,NA
"163","1999","POAL8",0,"alpine pondweed","pondweed, alpine","Potamogetonaceae","Potamogeton alpinus Balbis","S"
"164","1999","POAM5",0,"largeleaf pondweed","pondweed, largeleaf","Potamogetonaceae","Potamogeton amplifolius Tuck.","S"
"165","1999","POAM8",0,"water knotweed","knotweed, water","Polygonaceae","Polygonum amphibium L.","E"
"166","1999","POAMS",0,"water smartweed","smartweed, water","Polygonaceae","Polygonum amphibium L. var stipulaceum Coleman","E"
"167","1999","POCO14",0.33,"pickerelweed","pickerelweed","Pontederiaceae","Pontederia cordata L.","E"
"168","1999","POCR3",12.33,"curly pondweed","pondweed, curly","Potamogetonaceae","Potamogeton crispus L.","S"
"169","1999","POFO3",0,"leafy pondweed","pondweed, leafy","Potamogetonaceae","Potamogeton foliosus Raf.","S"
"170","1999","POLA4",0,"curlytop knotweed","knotweed, curlytop","Polygonaceae","Polygonum lapathifolium L.","E"
"171","1999","PONO2",2.33,"longleaf pondweed","pondweed, longleaf","Potamogetonaceae","Potamogeton nodosus Poir.","S"
"172","1999","POPE2",0,"Pennsylvania smartweed","smartweed, Pennsylvania","Polygonaceae","Polygonum pensylvanicum L.","E"
"173","1999","POPE3",0,"spotted ladysthumb","ladysthumb, spotted","Polygonaceae","Polygonum persicaria","E"
"174","1999","POPE6",20,"sago pondweed","pondweed, sago","Potamogetonaceae","Stuckenia pectinatus (L.) Boerner","S"
"175","1999","POPU5",0,"dotted smartweed","smartweed, dotted","Polygonaceae","Polygonum punctatum Ell.","E"
"176","1999","PORI2",0.17,"Richardson's pondweed","pondweed, Richardson's","Potamogetonaceae","Potamogeton richardsonii (Benn.) Rydb.","S"
"177","1999","POZO",9.17,"flatstem pondweed","pondweed, flatstem","Potamogetonaceae","Potamogeton zosteriformis Fern.","S"
"178","1999","RA?NU",0,NA,NA,NA,NA,NA
"179","1999","RALO2",0.5,"longbeak buttercup","buttercup, longbeak","Ranunculaceae","Ranunculus longirostris Godr.","S"
"180","1999","RIFL4",0,"slender liverwort","liverwort, slender","Riccaceae","Riccia fluitans L.","N"
"181","1999","RO?BI",0,"locust","locust","Fabaceae","Robina spp.","E"
"182","1999","RONA2",0,"watercress","watercress","Brassicaceae","Rorippa nasturtium-aquaticum (L.) Hayek","E"
"183","1999","RUOR2",0,"greater water dock","water dock, greater","Polygonaceae","Rumex orbiculatus Gray","E"
"184","1999","SA?GI",0,NA,NA,NA,NA,NA
"185","1999","SA?LI",0,NA,NA,NA,NA,NA
"186","1999","SAEX",0,"sandbar willow","willow, sandbar","Salicaceae","Salix exigua Nutt.","E"
"187","1999","SAIN3",0,NA,NA,NA,NA,NA
"188","1999","SALA2",8.33,"broadleaf arrowhead","arrowhead, broadleaf","Alismataceae","Sagittaria latifolia Willd.","E"
"189","1999","SALIX",0,NA,NA,NA,NA,NA
"190","1999","SANI",0,"black willow","willow, black","Salicaceae","Salix nigra Marsh.","E"
"191","1999","SARI",5.83,"stiff arrowhead","arrowhead, stiff","Alismataceae","Sagittaria rigida Pursh.","E"
"192","1999","SCFL",0.17,"river bulrush","bulrush, river","Cyperaceae","Schoenoplectus fluviatilis (Torr.) M.T. Strong","E"
"193","1999","SCVA",0.17,"softstem bulrush","bulrush, softstem","Cyperaceae","Schoenoplectus tabernaemontani (K.C. Gmel.) Palla","E"
"194","1999","SP?AR",0,"burreed","burreed","Sparganiaceae","Sparganium spp","E"
"195","1999","SPEU",1,"giant burreed","burreed, giant","Sparganiaceae","Sparganium eurycarpum Engelm. ex Gray","E"
"196","1999","SPPO",0,"big duckweed","duckweed, big","Lemnaceae","Spirodela polyrrhiza (L.) Schleid.","N"
"197","1999","ST?AC",0,"hedge nettle","nettle, hedge","Lamiaceae","Stachys spp.","E"
"198","1999","ST?UC",0,"pondweed","pondweed","Potamogetonaceae","Stuckenia spp.","S"
"199","1999","TYAN",0,"narrowleaf cattail","cattail, narrowleaf","Typhaceae","Typha angustifolia L.","E"
"200","1999","TYLA",0,"common cattail","cattail, common","Typhaceae","Typha latifolia L.","E"
"201","1999","UNK1",0,NA,NA,NA,NA,NA
"202","1999","UNKN01",0,NA,NA,NA,NA,NA
"203","1999","URDI",0,"stinging nettle","nettle, stinging","Urticaceae","Urtica dioica L.","E"
"204","1999","UTMA",3,"common bladderwort","bladderwort, common","Lentibulariaceae","Utricularia macrorhiza Le Conte","S"
"205","1999","VAAM3",9.33,"wildcelery","wildcelery","Hydrocharitaceae","Vallisneria americana Michx.","S"
"206","1999","WOCO",0,"Columbian watermeal","watermeal, Columbian","Lemnaceae","Wolffia columbiana Karst.","N"
"207","1999","XAST",0,"rough cocklebur","cocklebur, rough","Asteraceae","Xanthium strumarium L.","E"
"208","1999","ZAPA",0,"horned pondweed","pondweed, horned","Zannichelliaceae","Zannichellia palustris L.","S"
"209","1999","ZI?ZA",1.83,"wild rice","rice, wild","Poaceae","Zizania spp.","E"
"210","1999","ZODU",25.67,"water stargrass","stargrass, water","Pontederiaceae","Heteranthera dubia (Jacq.) MacM.","S"
"211","2000","ACSA2",0,"silver maple","maple, silver","Aceraceae","Acer saccharinum L.","E"
"212","2000","ALGA",7.38,"filamentous algae","algae, filamentous","","Filamentous algae","A"
"213","2000","ALSU",0,"American water plantain","water plantain, American","Alismataceae","Alisma subcordatum","E"
"214","2000","AM?AR",0,NA,NA,NA,NA,NA
"215","2000","ASCLE",0,"milkweed","milkweed","Ascleepiadaceae","Asclepias spp.","E"
"216","2000","ASIN",0,"swamp milkweed","milkweed, swamp","Asclepiadaceae","Asclepias incarnata L.","E"
"217","2000","AZCA",0,"Carolina mosquitofern","mosquitofern, Carolina","Azollaceae","Azolla caroliniana Willd.","N"
"218","2000","AZME",0,"Mexican mosquitofern","mosquitofern, Mexican","Azollaceae","Azolla mexicana Schlect. & Cham. ex K. Presl","N"
"219","2000","BI?DE",0,NA,NA,NA,NA,NA
"220","2000","buum",0,NA,NA,NA,NA,NA
"221","2000","BUUM",0,"flowering rush","rush, flowering","Butomaceae","Butomus umbellatus L.","E"
"222","2000","CA?RE",0.31,NA,NA,NA,NA,NA
"223","2000","CEDE4",24.31,"coontail","coontail","Ceratophyllaceae","Ceratophyllum demersum L.","S"
"224","2000","CEOC",0,"common hackberry","hackberry, common","Ulmaceae","Celtis occidentalis L.","E"
"225","2000","CEOC2",0,"common buttonbush","buttonbush, common","Rubiaceae","Cephalanthus occidentalis L.","E"
"226","2000","CH?AR",0.46,"chara","chara","Characeae","Chara spp.","S"
"227","2000","CIBU",0,"bulblet-bearing water hemlock","hemlock, bulblet-bearing water","","Cicuta bulbifera","E"
"228","2000","CY?PE",0,NA,NA,NA,NA,NA
"229","2000","CYER2",0,"redroot flatsedge","flatsedge, redroot","Cyperaceae","Cyperus erythrorhizos Muhl.","E"
"230","2000","CYST",0,"straw-colored flatsedge","flatsedge, straw-colored","Cyperaceae","Cyperus strigosus L.","E"
"231","2000","DR?EP",0,NA,NA,NA,NA,NA
"232","2000","EL?EO",0.15,NA,NA,NA,NA,NA
"233","2000","ELAC",0,"needle spikerush","spikerush, needle","Cyperaceae","Eleocharis acicularis","E"
"234","2000","ELCA7",20.62,"Canadian waterweed","waterweed, Canadian","Hydrocharitaceae","Elodea canadensis Michx.","S"
"235","2000","ELNU2",0,NA,NA,NA,NA,NA
"236","2000","ELPA3",0,"common spikerush","spikerush, common","Cyperaceae","Eleocharis palustris (L.) Roemer & J.A. Schultes","E"
"237","2000","EQ?UI",0,NA,NA,NA,NA,NA
"238","2000","IM?PA",0,"touch-me-not","touch-me-not","Balsaminaceae","Impatiens spp.","E"
"239","2000","IRVE2",0,NA,NA,NA,NA,NA
"240","2000","LACA3",0,"Canadian woodnettle","woodnettle, Canadian","","Laportea canadensis (L.) Weddell","E"
"241","2000","LEMI3",0,"small duckweed","duckweed, small","Lemnaceae","Lemna minor L.","N"
"242","2000","LEOR",0.31,"rice cutgrass","cutgrass, rice","Poaceae","Leersia oryzoides(L.) Sw.","E"
"243","2000","LETR",0,"star duckweed","duckweed, star","Lemnaceae","Lemna trisulca L.","N"
"244","2000","LEVI2",0,"whitegrass","whitegrass","Poaceae","Leersia virginica","E"
"245","2000","LYSA2",0,"purple loosestrife","loosestrife, purple","Lythraceae","Lythrum salicaria L.","E"
"246","2000","MYSI",0,"northern watermilfoil","watermilfoil, northern","Haloragaceae","Myriophyllum sibiricum Komarov","S"
"247","2000","MYSP2",11.85,"Eurasian watermilfoil","watermilfoil, Eurasian","Haloragaceae","Myriophyllum spicatum L.","S"
"248","2000","NAFL",2.92,"nodding waternymph","waternymph, nodding","Najadaceae","Najas flexilis (Willd.) Rostk. & Schmidt","S"
"249","2000","NAGU",0,"southern waternymph","waternymph, southern","Najadaceae","Najas guadalupensis (Spreng.) Magnus","S"
"250","2000","NAMI",0,"brittle waternymph","waternymph, brittle","Najadaceae","Najas minor All.","S"
"251","2000","NELU",3.69,"American lotus","lotus, American","Nelumbonaceae","Nelumbo lutea Willd.","F"
"252","2000","NI?TE",0,"nitella","nitella","Characeae","Nitella spp.","S"
"253","2000","NLPW",12.77,"leafy/small pondweed","pondweed, leafy/small","Potamogetonaceae","Potamogeton foliosus Raf./pusillus L.","S"
"254","2000","NOAQVG",72.77,NA,NA,NA,NA,NA
"255","2000","NORAKE",0,NA,NA,NA,NA,NA
"256","2000","NOSAV",0,NA,NA,NA,NA,NA
"257","2000","NOSMPL",0.15,NA,NA,NA,NA,NA
"258","2000","NOTSP",0,NA,NA,NA,NA,NA
"259","2000","NULU",0.46,"yellow pond lily","pondlily, yellow","Nymphaeaceae","Nuphar variegata Dur.","F"
"260","2000","NYTU",9.85,"white waterlily","waterlily, white","Nymphaeaceae","Nymphaea odorata Ait. spp  tuberosa (Paine) Wiersma & Hellquist","F"
"261","2000","PE?RS",0,NA,NA,NA,NA,NA
"262","2000","PHAR3",1.38,"reed canarygrass","canarygrass, reed","Poaceae","Phalaris aruninaceae L.","E"
"263","2000","PHAU7",0,"common reed","reed, common","Poaceae","Phragmites australis (Cav.) Trin. ex Steud.","E"
"264","2000","PHAUA6",0,NA,NA,NA,NA,NA
"265","2000","PHAUA7",0,NA,NA,NA,NA,NA
"266","2000","PIPU2",0,"Canadian clearweed","clearweed, Canadian","","Pilea pumila (L.) Gray","E"
"267","2000","PO?LY",0,NA,NA,NA,NA,NA
"268","2000","POAL8",0,"alpine pondweed","pondweed, alpine","Potamogetonaceae","Potamogeton alpinus Balbis","S"
"269","2000","POAM5",0,"largeleaf pondweed","pondweed, largeleaf","Potamogetonaceae","Potamogeton amplifolius Tuck.","S"
"270","2000","POAM8",0.46,"water knotweed","knotweed, water","Polygonaceae","Polygonum amphibium L.","E"
"271","2000","POAMS",0,"water smartweed","smartweed, water","Polygonaceae","Polygonum amphibium L. var stipulaceum Coleman","E"
"272","2000","POCO14",0.46,"pickerelweed","pickerelweed","Pontederiaceae","Pontederia cordata L.","E"
"273","2000","POCR3",8.92,"curly pondweed","pondweed, curly","Potamogetonaceae","Potamogeton crispus L.","S"
"274","2000","POFO3",0,"leafy pondweed","pondweed, leafy","Potamogetonaceae","Potamogeton foliosus Raf.","S"
"275","2000","POLA4",0,"curlytop knotweed","knotweed, curlytop","Polygonaceae","Polygonum lapathifolium L.","E"
"276","2000","PONO2",1.54,"longleaf pondweed","pondweed, longleaf","Potamogetonaceae","Potamogeton nodosus Poir.","S"
"277","2000","POPE2",0,"Pennsylvania smartweed","smartweed, Pennsylvania","Polygonaceae","Polygonum pensylvanicum L.","E"
"278","2000","POPE3",0,"spotted ladysthumb","ladysthumb, spotted","Polygonaceae","Polygonum persicaria","E"
"279","2000","POPE6",13.85,"sago pondweed","pondweed, sago","Potamogetonaceae","Stuckenia pectinatus (L.) Boerner","S"
"280","2000","POPU5",0,"dotted smartweed","smartweed, dotted","Polygonaceae","Polygonum punctatum Ell.","E"
"281","2000","PORI2",0.15,"Richardson's pondweed","pondweed, Richardson's","Potamogetonaceae","Potamogeton richardsonii (Benn.) Rydb.","S"
